text,disruption_type,disruption_status
" Me with the last bottle of bottled water in Florida apparently @ Pinellas County, Florida https://t.co/p55sq33YQ3",3,1
 Watching @GhostAdventures artifacts on my DVR &amp; u know an object has power when you get the chills through the tv #TheCryingBoy @Zak_Bagans,7,0
 TWO MORE POWER FLICKERS IRMA YOU SOFT AF,1,1
 Friends in Overtown and Miramar already lost power,1,1
 Bro we are the only people without power in my block but the block next to me has!!!,1,1
" Fallen power cables, caution in #Fulton on W Paces Ferry Rd east of I-75 #ATLTraffic https://t.co/bABElTEvus",1,1
" Power is back, wifi is working, AC on blast....back to being lazy and staying indoors ON MY OWN TERMS",1,0
 Definitely praying I have power to watch the NFL game tomorrow night,1,0
 Where can I donate all my extra bottled drinking water for Hurricane Irma? #IrmaRecovery #AfterIrma #Florida https://t.co/7TIG1d04oW,3,0
 @docnealis Depends on where u are. My power has yet to be fully restored but units across the street came back last night...,1,1
 HAHAHAHAAHAAH FGCU CLOSED UNTIL WEDNESDAY IT'S LIT,7,0
 Michigan (struggled in every game they've played,7,0
 If this is your first Generator please read! #HurricaneIrma https://t.co/pgm7jtBXB4,1,0
 I'd rather somebody tell me they're not interested than being led on lol ur not gonna hurt my feelings just don't waste ur time or,7,0
 @thesamiiryan So far everything prepared yeah. It's terrifying af. I wish I could a generator at my job https://t.co/DweJMztZH7,1,0
" @3OClockBeatWrtr @JodiWishMN I agree, wait till morning before driving that bad boy over to my power https://t.co/xeSfGKSrQQ",7,0
 @COTNews Will we wave power at 4768 Woodville Hwy today? Powers been off since 6am yesterday...,1,1
 The sun visor in my car is like a waste of money. It does nothing.,7,0
 My mama can't ask me to spend another cloudy day over here they power go out to fast,1,1
 i need to stop drinking before the game i feel like my body shutting down,7,0
 Our neighborhood is like he only place with power right now. Everyone deserves a shower and home cooked meal,1,1
" hey guys the hurricane is gonna start hitting my city around 12 so i'll probably lose power for a few days, but i'll talk to you guys",1,0
 I thought everybody power was back on by now hell out shit been back on since yesterday dats crazy,1,0
 Day 4...Daytona Beach. - Drinking a Super Bad by @interboronyc at @daytonahilton https://t.co/SitTr0EW7h #photo,7,0
" Thanks for another awesome flight, @united. 90 minute delay in clear weather, failed wifi after paying $15",7,0
" No power in my hotel? No problem. Three flashlights pointed up. Looks kind of nice, if I do say so myself. https://t.co/WeLtZXamRc",1,1
 @Jijit27 IT WAS CLOSED YESTERDAY BITCH I TRIED,7,0
" @capthlr Filling your washer with ice, bottled water is a good tip. The ice melts/drains~no mess",3,0
 @BlutoBird No Tampa is in an evac zone but they come here. We were built on orange groves so drainage is real https://t.co/4RkCjyBtmy,4,1
" #SouthernRoots All You Can Do Is Laugh... no power after #hurricaneirma, https://t.co/UdvtJGp0NL",1,1
 Wonder if I should do my homework for the week now since we might lose power,1,0
 4 case limit but the Millenia @BJsWholesale has a good supply of bottled water around the store this morning. https://t.co/6XxAFo2Vqd,3,0
 But can we get the low power battery mode on the main task bar,7,0
 It's not about how you don't drink water on a regular basis. It's that cat 5 storms mess up everything including power and water supply,1,1
 See a virtual tour of our listing on 906 Doran Road #Murray #KY #realestate https://t.co/Bd2vT8ezMP https://t.co/cbcUzQwqsx,7,0
 Hurricane live shot drinking a drink every time they tell you to stay inside while they themselves are outside.,6,0
 I'm evacuating next Hurricane. I haven't had Power since Sunday. I'm just now getting the,1,1
"Hi everyone, still having internet issues dud to storm. Just remember.... out https://t.co/sYSgBkLN4f ",2,1
 Bridge closed in #SunshineSkywayBridge on I-275 Both NB/SB at Toll Plz NB and Toll Plz SB #traffic https://t.co/KJgf5PvuU6,5,1
 What a waste of time,7,0
" man , I pray my power don't go out",1,0
" School closed on Tuesday too, damn lol",6,0
 Never taking this power for granted https://t.co/MpP55g03ea,7,0
 I've personally seen about 20 examples of this on highway this morning. It's also causing unnecessary traffic https://t.co/3WKkPxcGfq,5,1
 We are closed for this weekend. I'm kinda not happy about it.,6,0
please dont charge your phone with a car charger and a 9 volt battery it will leave your phone in shambles,7,0
I finally have power again Thank you Jesus,1,0
